Step,Time,Population
621,0.621,3.31807282944201
622,0.622,3.31822473583199
623,0.623,3.31837513699785
624,0.624,3.31852404771829
625,0.625,3.31867148262962
626,0.626,3.31881745622706
627,0.627,3.31896198286606
628,0.628,3.31910507676359
629,0.629,3.31924675199943
630,0.63,3.31938702251745
631,0.631,3.31952590212685
632,0.632,3.31966340450345
633,0.633,3.31979954319088
634,0.634,3.31993433160188
635,0.635,3.32006778301945
636,0.636,3.32019991059811
637,0.637,3.32033072736509
638,0.638,3.32046024622148
639,0.639,3.32058847994349
640,0.64,3.32071544118352
641,0.641,3.32084114247141
642,0.642,3.32096559621553
643,0.643,3.32108881470395
644,0.644,3.32121081010553
645,0.645,3.3213315944711
646,0.646,3.32145117973452
647,0.647,3.32156957771378
648,0.648,3.32168680011214
649,0.649,3.32180285851914
650,0.65,3.32191776441174
651,0.651,3.32203152915531
652,0.652,3.32214416400476
653,0.653,3.32225568010551
654,0.654,3.32236608849459
655,0.655,3.3224754001016
656,0.656,3.32258362574977
657,0.657,3.32269077615697
658,0.658,3.32279686193666
659,0.659,3.32290189359894
660,0.66,3.32300588155148
661,0.661,3.32310883610052
662,0.662,3.32321076745182
663,0.663,3.32331168571161
664,0.664,3.32341160088757
665,0.665,3.3235105228897
666,0.666,3.32360846153132
667,0.667,3.32370542652995
668,0.668,3.32380142750821
669,0.669,3.32389647399478
670,0.67,3.32399057542522
671,0.671,3.32408374114293
672,0.672,3.32417598039996
673,0.673,3.32426730235796
674,0.674,3.32435771608896
675,0.675,3.32444723057629
676,0.676,3.32453585471539
677,0.677,3.32462359731468
678,0.678,3.32471046709636
679,0.679,3.32479647269727
680,0.68,3.32488162266966
681,0.681,3.32496592548206
682,0.682,3.32504938952003
683,0.683000000000001,3.32513202308698
684,0.684000000000001,3.32521383440498
685,0.685000000000001,3.32529483161547
686,0.686000000000001,3.32537502278012
687,0.687000000000001,3.32545441588153
688,0.688000000000001,3.32553301882403
689,0.689000000000001,3.3256108394344
690,0.690000000000001,3.32568788546266
691,0.691000000000001,3.32576416458275
692,0.692000000000001,3.3258396843933
693,0.693000000000001,3.32591445241838
694,0.694000000000001,3.32598847610815
695,0.695000000000001,3.32606176283962
696,0.696000000000001,3.32613431991734
697,0.697000000000001,3.32620615457412
698,0.698000000000001,3.32627727397168
699,0.699000000000001,3.32634768520138
700,0.700000000000001,3.32641739528486
701,0.701000000000001,3.32648641117474
702,0.702000000000001,3.3265547397553
703,0.703000000000001,3.32662238784309
704,0.704000000000001,3.32668936218762
705,0.705000000000001,3.32675566947202
706,0.706000000000001,3.32682131631365
707,0.707000000000001,3.32688630926475
708,0.708000000000001,3.32695065481308
709,0.709000000000001,3.32701435938252
710,0.710000000000001,3.32707742933374
711,0.711000000000001,3.32713987096473
712,0.712000000000001,3.32720169051149
713,0.713000000000001,3.32726289414857
714,0.714000000000001,3.32732348798972
715,0.715000000000001,3.32738347808844
716,0.716000000000001,3.32744287043855
717,0.717000000000001,3.32750167097484
718,0.718000000000001,3.32755988557357
719,0.719000000000001,3.32761752005307
720,0.720000000000001,3.32767458017431
721,0.721000000000001,3.32773107164144
722,0.722000000000001,3.32778700010235
723,0.723000000000001,3.32784237114922
724,0.724000000000001,3.32789719031906
725,0.725000000000001,3.32795146309425
726,0.726000000000001,3.32800519490306
727,0.727000000000001,3.32805839112019
728,0.728000000000001,3.32811105706727
