Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,18079.1138393345,7759.11190639175
Maximum Range,18108.84778115,7747.86340519174
Maximum Range,18138.564299905,7736.523495224
Maximum Range,18168.2633771794,7725.09224097596
Maximum Range,18197.944994273,7713.56970719823
Maximum Range,18227.6091322054,7701.95595890743
Maximum Range,18257.2557717166,7690.25106138905
Maximum Range,18286.8848932676,7678.45508020028
Maximum Range,18316.4964770399,7666.56808117286
Maximum Range,18346.0905029363,7654.59013041594
Maximum Range,18375.6669505814,7642.52129431893
Maximum Range,18405.2257993213,7630.36163955433
Maximum Range,18434.7670282243,7618.11123308063
Maximum Range,18464.2906160809,7605.77014214513
Maximum Range,18493.7965414044,7593.3384342868
Maximum Range,18523.2847824307,7580.81617733919
Maximum Range,18552.7553171192,7568.20343943325
Maximum Range,18582.2081231523,7555.50028900021
Maximum Range,18611.6431779363,7542.70679477445
Maximum Range,18641.0604586012,7529.82302579639
Maximum Range,18670.4599420013,7516.84905141536
Maximum Range,18699.8416047152,7503.78494129246
Maximum Range,18729.2054230461,7490.63076540347
Maximum Range,18758.5513730221,7477.38659404171
Maximum Range,18787.8794303963,7464.05249782095
Maximum Range,18817.1895706472,7450.6285476783
Maximum Range,18846.4817689789,7437.11481487708
Maximum Range,18875.756000321,7423.51137100974
Maximum Range,18905.0122393294,7409.81828800077
Maximum Range,18934.2504603861,7396.03563810957
Maximum Range,18963.4706375994,7382.16349393336
Maximum Range,18992.6727448044,7368.20192841014
Maximum Range,19021.856755563,7354.15101482155
Maximum Range,19051.0226431641,7340.0108267958
Maximum Range,19080.1703806239,7325.78143831059
Maximum Range,19109.2999406861,7311.46292369606
Maximum Range,19138.411295822,7297.05535763766
Maximum Range,19167.5044182307,7282.55881517914
Maximum Range,19196.5792798395,7267.97337172543
Maximum Range,19225.635852304,7253.29910304564
Maximum Range,19254.6741070079,7238.53608527592
Maximum Range,19283.6940150639,7223.68439492249
Maximum Range,19312.6955473133,7208.7441088645
Maximum Range,19341.6786743265,7193.71530435706
Maximum Range,19370.643366403,7178.59805903415
Maximum Range,19399.5895935718,7163.39245091158
Maximum Range,19428.5173255913,7148.09855838995
Maximum Range,19457.4265319497,7132.71646025766
Maximum Range,19486.3171818651,7117.24623569381
Maximum Range,19515.1892442856,7101.68796427122
Maximum Range,19544.0426878896,7086.0417259594
Maximum Range,19572.8774810859,7070.3076011275
Maximum Range,19601.6935920141,7054.48567054735
Maximum Range,19630.4909885441,7038.57601539638
Maximum Range,19659.2696382771,7022.57871726068
Maximum Range,19688.0295085454,7006.49385813792
Maximum Range,19716.7705664123,6990.32152044044
Maximum Range,19745.4927786726,6974.06178699816
Maximum Range,19774.1961118529,6957.71474106165
Maximum Range,19802.8805322114,6941.28046630512
Maximum Range,19831.5460057381,6924.75904682941
Maximum Range,19860.1924981553,6908.15056716507
Maximum Range,19888.8199749174,6891.45511227532
Maximum Range,19917.4284012111,6874.67276755908
Maximum Range,19946.0177419559,6857.80361885405
Maximum Range,19974.5879618039,6840.84775243969
Maximum Range,20003.13902514,6823.80525504028
Maximum Range,20031.6708960821,6806.67621382795
Maximum Range,20060.1835384816,6789.46071642575
Maximum Range,20088.6769159229,6772.15885091065
