Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,20046.4772466386,12029.0972466385
Angle 45,20095.9747213217,12038.9047213216
Angle 45,20145.4721960047,12048.6141960046
Angle 45,20194.9696706878,12058.2256706877
Angle 45,20244.4671453708,12067.7391453707
Angle 45,20293.9646200539,12077.1546200538
Angle 45,20343.462094737,12086.4720947369
Angle 45,20392.95956942,12095.6915694199
Angle 45,20442.4570441031,12104.813044103
Angle 45,20491.9545187861,12113.836518786
Angle 45,20541.4519934692,12122.7619934691
Angle 45,20590.9494681523,12131.5894681522
Angle 45,20640.4469428353,12140.3189428352
Angle 45,20689.9444175184,12148.9504175183
Angle 45,20739.4418922014,12157.4838922013
Angle 45,20788.9393668845,12165.9193668844
Angle 45,20838.4368415675,12174.2568415674
Angle 45,20887.9343162506,12182.4963162505
Angle 45,20937.4317909337,12190.6377909336
Angle 45,20986.9292656167,12198.6812656166
Angle 45,21036.4267402998,12206.6267402997
Angle 45,21085.9242149828,12214.4742149827
Angle 45,21135.4216896659,12222.2236896658
Angle 45,21184.919164349,12229.8751643488
Angle 45,21234.416639032,12237.4286390319
Angle 45,21283.9141137151,12244.884113715
Angle 45,21333.4115883981,12252.241588398
Angle 45,21382.9090630812,12259.5010630811
Angle 45,21432.4065377643,12266.6625377641
Angle 45,21481.9040124473,12273.7260124472
Angle 45,21531.4014871304,12280.6914871303
Angle 45,21580.8989618134,12287.5589618133
Angle 45,21630.3964364965,12294.3284364964
Angle 45,21679.8939111796,12300.9999111794
Angle 45,21729.3913858626,12307.5733858625
Angle 45,21778.8888605457,12314.0488605455
Angle 45,21828.3863352287,12320.4263352286
Angle 45,21877.8838099118,12326.7058099117
Angle 45,21927.3812845949,12332.8872845947
Angle 45,21976.8787592779,12338.9707592778
Angle 45,22026.376233961,12344.9562339608
Angle 45,22075.873708644,12350.8437086439
Angle 45,22125.3711833271,12356.633183327
Angle 45,22174.8686580102,12362.32465801
Angle 45,22224.3661326932,12367.9181326931
Angle 45,22273.8636073763,12373.4136073761
Angle 45,22323.3610820593,12378.8110820592
Angle 45,22372.8585567424,12384.1105567422
Angle 45,22422.3560314255,12389.3120314253
Angle 45,22471.8535061085,12394.4155061084
Angle 45,22521.3509807916,12399.4209807914
Angle 45,22570.8484554746,12404.3284554745
Angle 45,22620.3459301577,12409.1379301575
Angle 45,22669.8434048407,12413.8494048406
Angle 45,22719.3408795238,12418.4628795236
Angle 45,22768.8383542069,12422.9783542067
Angle 45,22818.3358288899,12427.3958288898
Angle 45,22867.833303573,12431.7153035728
Angle 45,22917.330778256,12435.9367782559
Angle 45,22966.8282529391,12440.0602529389
Angle 45,23016.3257276222,12444.085727622
Angle 45,23065.8232023052,12448.013202305
Angle 45,23115.3206769883,12451.8426769881
Angle 45,23164.8181516713,12455.5741516712
Angle 45,23214.3156263544,12459.2076263542
Angle 45,23263.8131010375,12462.7431010373
Angle 45,23313.3105757205,12466.1805757203
Angle 45,23362.8080504036,12469.5200504034
Angle 45,23412.3055250866,12472.7615250865
Angle 45,23461.8029997697,12475.9049997695
Angle 45,23511.3004744528,12478.9504744526
Angle 45,23560.7979491358,12481.8979491356
Angle 45,23610.2954238189,12484.7474238187
Angle 45,23659.7928985019,12487.4988985017
Angle 45,23709.290373185,12490.1523731848
Angle 45,23758.7878478681,12492.7078478679
Angle 45,23808.2853225511,12495.1653225509
Angle 45,23857.7827972342,12497.524797234
Angle 45,23907.2802719172,12499.786271917
Angle 45,23956.7777466003,12501.9497466001
Angle 45,24006.2752212834,12504.0152212832
Angle 45,24055.7726959664,12505.9826959662
Angle 45,24105.2701706495,12507.8521706493
Angle 45,24154.7676453325,12509.6236453323
Angle 45,24204.2651200156,12511.2971200154
Angle 45,24253.7625946986,12512.8725946984
Angle 45,24303.2600693817,12514.3500693815
Angle 45,24352.7575440648,12515.7295440646
Angle 45,24402.2550187478,12517.0110187476
Angle 45,24451.7524934309,12518.1944934307
Angle 45,24501.2499681139,12519.2799681137
Angle 45,24550.747442797,12520.2674427968
Angle 45,24600.2449174801,12521.1569174798
Angle 45,24649.7423921631,12521.9483921629
Angle 45,24699.2398668462,12522.641866846
Angle 45,24748.7373415292,12523.237341529
Angle 45,24798.2348162123,12523.7348162121
Angle 45,24847.7322908954,12524.1342908951
Angle 45,24897.2297655784,12524.4357655782
Angle 45,24946.7272402615,12524.6392402613
Angle 45,24996.2247149445,12524.7447149443
Angle 45,25045.7221896276,12524.7521896274
Angle 45,25095.2196643107,12524.6616643104
Angle 45,25144.7171389937,12524.4731389935
Angle 45,25194.2146136768,12524.1866136765
Angle 45,25243.7120883598,12523.8020883596
Angle 45,25293.2095630429,12523.3195630427
Angle 45,25342.707037726,12522.7390377257
Angle 45,25392.204512409,12522.0605124088
